,annotator,label,stars,sentence1
207,cj99,1,,"The more articles he reads, the fewer people he thinks that under the current circumstances will go into linguistics."
208,cj99,1,,"The more articles he reads, the fewer people he thinks under the current circumstances will go into linguistics."
209,cj99,1,,"The more people that arrive, the louder that it gets."
210,cj99,1,,"The more people that arrive, the louder it gets."
211,cj99,1,,"The more people you give beer to, the more people that get sick."
212,cj99,1,,"The more people that you give beer to, the more people that get sick."
213,cj99,1,,"The more people arrive, the louder that it gets."
214,cj99,1,,"The more people arrive, the louder it gets."
215,cj99,1,,"The more people that you give beer to, the more people get sick."
216,cj99,0,*,The more pictures of John that he buys the more arrogant he becomes.
217,cj99,1,,The more pictures of himself that John buys the more arrogant he becomes.
218,cj99,1,,The man that arrived on the train was my brother.
219,cj99,0,*,The man arrived on the train was my brother.
220,cj99,0,*,"The more people everyone who likes pays attention to, the happier we all are."
221,cj99,0,*,"The later it gets, the more people everyone who likes pays attention to."
222,cj99,1,,"Whenever Bill smokes, Susan hates him all the more."
223,cj99,1,,"Whenever Bill smokes, Susan hates him much more."
224,cj99,1,,"Whenever Bill smokes, Susan hates him far more."
225,cj99,1,,"Whenever Bill smokes, Susan hates him a lot more."
226,cj99,1,,"Once Janet left, Fred became all the crazier."
227,cj99,1,,"Once Janet left, Fred became much crazier."
228,cj99,1,,"Once Janet left, Fred became far crazier."
229,cj99,1,,"Fred became all the crazier, the more often Janet left."
230,cj99,1,,"When Bill smokes, all the more does Susan hate him."
231,cj99,0,*,"When Bill smokes, much more does Susan hate him."
232,cj99,0,*,"When Bill smokes, all the more Susan hates him."
233,cj99,1,,So much did you eat that everyone gasped.
234,cj99,1,,So fast did you run that everyone gasped.
235,cj99,1,,So intelligent a dog did you buy that everyone gasped.
236,cj99,1,,I know how much you ate.
237,cj99,1,,I know how fast you ran.
238,cj99,1,,I know how intelligent a dog you bought.
239,cj99,1,,He ate so much that he got sick.
240,cj99,1,,So much did he eat that he got sick.
241,cj99,1,,"The more you eat, the more you want."
242,cj99,0,*,"You eat the more, the more you want."
243,cj99,0,*,"The more you eat, you want the more."
244,cj99,0,*,I wonder you ate how much.
245,cj99,1,,I wonder to how many people Bill talks.
246,cj99,1,,"The longer he has to wait, the angrier John gets."
247,cj99,1,,"If he has to wait, John gets angry."
248,cj99,0,*,"He gets angry, the longer John has to wait."
249,cj99,0,*,He gets angry if John has to wait.
250,cj99,1,,"The more that pictures of him appear in the news, the more embarrassed John becomes."
251,cj99,1,,"The more pictures of himself that appear in the news, the more embarrassed John becomes."
252,cj99,1,,"The more that pictures of himself appear in the news, the more embarrassed John becomes."
253,cj99,1,,"The more pictures of him appear in the news, the more likely John is to get arrested."
254,cj99,0,*,"The more pictures of himself appear in the news, the more likely John is to get arrested."
255,cj99,1,,"The more that pictures of him appear in the news, the more likely John is to get arrested."
256,cj99,0,*,"The more that pictures of himself appear in the news, the more likely John is to get arrested."
257,cj99,1,,"The more that John gets upset by them, the more that stories about him seem to show up in the news."
258,cj99,0,*,"The more that John gets upset by them, the more that stories about himself seem to show up in the news."
259,cj99,1,,"John is more embarrassed, the more pictures of him appear in the news."
260,cj99,1,,"John is more embarrassed, the more pictures of him that appear in the news."
261,cj99,1,,"John is more embarrassed, the more pictures of himself appear in the news."
262,cj99,1,,"John is more embarrassed, the more pictures of himself that appear in the news."
263,cj99,1,,"Stories about him seem to show up more on the evening news, the more that John gets upset by them."
264,cj99,0,*,"Stories about himself seem to show up more on the evening news, the more that John gets upset by them."
265,cj99,1,,"If you give him enough opportunity, every senator will succumb to corruption."
266,cj99,1,,You give him enough opportunity and every senator will succumb to corruption.
267,cj99,0,*,"We gave him enough opportunity and, sure enough, every senator succumbed to corruption."
268,cj99,1,,"If you give any senator enough opportunity, he will succumb to corruption."
269,cj99,1,,You give any senator enough opportunity and he will succumb to corruption.
270,cj99,0,*,You give every senator enough opportunity and he will succumb to corruption.
271,cj99,0,*,"We gave any senator enough opportunity and, sure enough, he succumbed to corruption."
272,cj99,0,*,"We gave every senator enough opportunity and, sure enough, he succumbed to corruption."
273,cj99,1,,"The more lobbyists he talks to, the more corrupt every senator seems to become."
274,cj99,1,,"The more lobbyists wine and dine him, the more every senator is susceptible to corruption."
275,cj99,0,*,"The more time that every senator spends with lobbyists, the more likely he succumbs to corruption."
276,cj99,1,,"Every senator becomes more corrupt, the more lobbyists he talks to."
277,cj99,1,,"Any senator becomes more corrupt, the more lobbyists he talks to."
278,cj99,0,*,"He seems to become more corrupt, the more lobbyists any senator talks to."
279,cj99,0,*,"He seems to become more corrupt, the more lobbyists every senator talks to."
280,cj99,1,,"Every senator seems to become more corrupt, if he talks to more lobbyists."
281,cj99,1,,"Any senator seems to become more corrupt, if he talks to more lobbyists."
282,cj99,1,,"Any senator seems to become more corrupt, as he talks to more lobbyists."
283,cj99,0,*,"He seems to become more corrupt, if any senator talks to more lobbyists."
284,cj99,0,*,"He seems to become more corrupt, if every senator talks to more lobbyists."
285,cj99,0,*,"He seems to become more corrupt, as every senator talks to more lobbyists."
286,cj99,0,*,"He seems to become more corrupt, as any senator talks to more lobbyists."
287,cj99,1,,"The sooner you solve this problem, the more easily you'll satisfy the folks up at corporate headquarters."
288,cj99,1,,This is the sort of problem which the sooner you solve the more easily you'll satisfy the folks up at corporate headquarters.
289,cj99,1,,"The folks up at corporate headquarters are the sort of people who the sooner you solve this problem, the more easily you'll satisfy."
290,cj99,1,,"This problem, the sooner you solve the more easily you'll satisfy the folks up at corporate headquarters."
291,cj99,1,,Who did you give pictures of to friends of?
292,cj99,1,,It is this problem that the sooner you solve the more easily you'll satisfy the folks up at corporate headquarters.
293,cj99,0,?*,"It is the folks up at corporate headquarters who the sooner you solve this problem, the more easily you'll satisfy."
294,cj99,0,*,"Which problem the sooner you solve, will the more easily you satisfy the folks up at corporate headquarters?"
295,cj99,0,*,"Which problem does the sooner that you solve, the more easily you'll satisfy the folks up at corporate headquarters?"
296,cj99,0,*,"Which problem the sooner that you solve, will the more easily you satisfy the folks up at corporate headquarters?"
297,cj99,0,*,"The harder it rains, the faster who runs?"
298,cj99,0,*,"The louder who talks, the angrier you get?"
299,cj99,1,,"The harder that it rains, how much faster a flow do you see in the river?"
300,cj99,1,,"They failed to tell me which problem the sooner I solve, the quicker the folks up at corporate headquarters."
301,cj99,0,??,"I finally worked up enough courage to ask which people up at corporate headquarters the sooner I solve this problem, the quicker I'll get free of."
302,cj99,0,??,"Which folks up at corporate headquarters do you think that the sooner you solve this problem, the quicker you'll be able to tell t to buzz off?"
303,cj99,0,??,This is a problem that you'll be able to tell the folks up at corporate headquarters to buzz off if you solve.
304,cj99,1,,This is a problem that you'll be able to tell the folks up at corporate headquarters to buzz off if you solve it.
305,cj99,0,??,This is a problem that you solve it and you'll be able to tell the folks up at corporate headquarters to buzz off.
306,cj99,0,??,Those are the folks that you just solve this problem and you'll be able to put them on ice.
307,cj99,0,??,"They failed to tell me which problem I'll beat the competition more easily, the sooner I solve."
308,cj99,0,??,"This is the problem that you'll beat the competition more easily, the sooner you solve."
309,bc01,1,,John saw the man in the room.
310,bc01,1,,Which room did John see the man in?
311,bc01,1,,Who did John think that Bill claimed that Mary suspected that everybody liked?
312,bc01,1,,John could not visit Sally.
313,bc01,1,,What John could do is not visit Sally.
314,bc01,1,,John couldn't visit Sally.
315,bc01,1,,Why did John leave?
316,bc01,1,,I hit the ball.
317,bc01,1,,You hit the ball.
318,bc01,0,*,He hit the ball.
319,bc01,0,*,She hit the ball.
320,bc01,1,,They hit the ball.
321,bc01,0,*,Am not I going?
322,bc01,1,,I am not going.
323,bc01,1,,Aren't I going?
324,bc01,0,*,I aren't going.
325,bc01,1,,"Louise is unhappy, isn't she?"
326,bc01,1,,"Louise likes not being happy, doesn't she?"
327,bc01,1,,"Not many books survived the fire, did they?"
328,bc01,1,,"No books survived the fire, did they?"
329,bc01,1,,"He hasn't often paid taxes, has he?"
330,bc01,1,,"He can't pay taxes, can he?"
331,bc01,1,,She does not see him.
332,bc01,1,,She kept not seeing him.
333,bc01,1,,She could not have been working.
334,bc01,0,*,Marianne not left.
335,bc01,0,*,Marianne left not.
336,bc01,1,,He could not have been working.
337,bc01,1,,He cannot have been working.
338,bc01,1,,He can simply not have been working.
339,bc01,1,,You must not simply not work.
340,bc01,1,,He may not just not have been working.
341,bc01,1,,He can't have been working.
342,bc01,1,,Can't he have been working?
343,bc01,1,,Can he not have been working?
344,bc01,0,*,Can he not have been working?
345,bc01,1,,John wrote books.
346,bc01,0,*,John write books.
347,bc01,0,*,John wrote books.
348,bc01,1,,John did not write books.
349,bc01,0,*,John seems that is nice.
350,bc01,1,,"`` I am so happy '', thought John."
351,bc01,1,,down the hill rolled John.
352,bc01,0,*,John kisses often Mary.
353,bc01,1,,John often kisses Mary.
354,bc01,1,,Who do you think Mary said John likes?
355,bc01,0,?*,Who did you ask whether Mary knows why John likes?
356,bc01,1,,Who do you think that Mary said that John likes?
357,bc01,0,*,How do you wonder whether Mary solved the problem?
358,bc01,1,,How do you think that Mary solved the problem?
359,bc01,0,*,How do you wonder whether John said that Mary solved the problem?
360,bc01,0,*,How do you wonder whether John said Mary solved the problem?
361,bc01,0,??,Which problem do you wonder whether John said that Mary solved?
362,bc01,1,,How did you think that Mary solved the problem?
363,bc01,1,,Mary hired someone.
364,bc01,1,,I heard that Mary hired someone.
365,bc01,1,,I resigned because Mary hired someone.
366,bc01,1,,Mary wondered which picture of himself Bill saw?
367,bc01,1,,Which picture of himself does Mary think that John said that Susan likes?
368,bc01,0,*,Mary thinks that John said that Susan likes pictures of himself?
369,bc01,1,,"Mary thinks that John said that pictures of himself, Susan likes?"
370,bc01,1,,"If you don't believe me, you will the weatherman?"
371,bc01,1,,"I rolled up a newspaper, and Lynn did a magazine?"
372,bc01,1,,"Kathy likes astronomy, but she doesn't meteorology?"
373,bc01,1,,The DA proved Jones guilty and the Assistant DA will prove Smith.
374,bc01,1,,"Mary will believe Susan, and you will Bob."
375,bc01,1,,You might not believe me but you will Bob.
376,bc01,0,*,You will Bob believe.
377,bc01,1,,How did you solve the problem?
378,bc01,1,,I wonder who could solve the problem in this way.
379,bc01,0,*,How do you wonder who could solve this problem.
380,bc01,1,,No candidate can predict how many people will vote for him.
381,bc01,1,,Every politician is worried when the press starts attacking him.
382,bc01,1,,Which politician appointed the journalist who supported him?
383,bc01,0,*,The fact that no candidate was elected shows that he was inadequate.
384,bc01,1,,"John sells books, Mary buys records and Bill V newspapers."
385,bc01,1,,The question of whether John met Mary worries the people who support.
386,bc01,1,,They have left.
387,bc01,1,,Have they left?
388,bc01,1,,Could they have left?
389,bc01,1,,He has often seen Mary.
390,bc01,1,,He I often sees Mary.
391,bc01,0,*,He sees often Mary.
392,bc01,0,*,Sees he I often Mary?
393,bc01,1,,It seems that it is likely that John will win.
394,bc01,1,,It seems that John is likely to win.
395,bc01,1,,John seems to be likely to win.
396,bc01,0,*,John seems that it is likely to win.
397,bc01,0,*,John seems will win.
398,bc01,0,*,How do you wonder which problem to solve?
399,bc01,1,,How intelligent do you consider John?
400,bc01,0,??,How many people do you wonder whether I consider intelligent?
401,bc01,0,*,How intelligent do you wonder whether I consider John?
402,bc01,0,*,What the hell do you wonder how to say?
403,bc01,1,,He has left.
404,bc01,1,,His book is nice.
405,bc01,1,,Bill saw him.
406,bc01,1,,Bill works with him.
407,bc01,1,,John believes him to be a nice guy.
408,bc01,1,,John considers him a nice guy.
409,bc01,1,,For him to do that would be a mistake.
410,bc01,1,,"With him sick, the team is in trouble."
411,bc01,0,*,A man to be in the garden is unlikely.
412,bc01,0,*,A man to come is unlikely.
413,bc01,0,*,John to call would be unlikely.
414,bc01,0,*,This conclusion to be arrived at is surprising.
415,bc01,1,,John believes that he is sick.
416,bc01,0,*,John believes that him is sick.
417,bc01,0,*,John tries him to win.
418,bc01,0,*,John wonders where him to go.
419,bc01,1,,Who do you think that Bill likes?
420,bc01,1,,Who do you think that Bill believes to be innocent?
421,bc01,0,*,Who do you think that believes John to be innocent?
422,bc01,0,*,Who would you prefer for to win the race?
423,bc01,1,,Someone stole my car.
424,bc01,1,,My car was stolen.
425,bc01,0,*,The children eat all chocolate.
426,bc01,1,,John has often kissed Mary.
427,bc01,1,,The kids have all eaten the chocolate.
428,bc01,1,,"In general, he understands what's going on."
429,bc01,1,,It's probable that in general he understands what's going on.
430,bc01,0,*,It's probable in general that he understands what's going on.
431,bc01,0,*,In general that he understands what's going on is surprising.
432,bc01,1,,I explained how to fix the sink.
433,bc01,1,,I explained how we should fix the sink.
434,bc01,1,,I explained that we should fix the sink.
435,bc01,0,*,I explained to fix the sink.
436,bc01,1,,Mickey looked up the reference.
437,bc01,1,,Mickey looked the reference up.
438,bc01,1,,Mickey looked up them.
439,bc01,1,,Mickey teamed up with the women.
440,bc01,0,*,Mickey teamed with the women up.
441,bc01,1,,Mickey pointed out that Gary had left.
442,bc01,0,*,Mickey pointed that Gary had left out.
443,bc01,1,,Mickey slips up all the time.
444,bc01,0,*,Mickey slips all the time up.
445,bc01,1,,What does John think Mary bought?
446,bc01,0,*,John thinks what Mary bought.
447,bc01,1,,John wonders what Mary bought.
448,bc01,0,*,What does John wonder Mary bought?
449,bc01,0,??,Who is he reading a book that criticizes?
450,bc01,0,??,What do you remember where we bought?
451,bc01,1,,Who bought what?
452,bc01,1,,Who is reading a book that criticizes who?
453,bc01,1,,Who remembers where we bought what?
454,bc01,0,*,I wonder who what bought?
455,bc01,0,*,I wonder what who bought?
456,bc01,1,,There aren't many linguistics students here.
457,bc01,1,,I haven't met many linguistics students.
458,bc01,1,,What does every student buy?
459,bc01,1,,I need Sally to be there.
460,bc01,0,*,The boat sank to collect the insurance.
461,bc01,1,,The boat was sunk to collect the insurance.
462,bc01,1,,John wants to win.
463,bc01,1,,The bed was unmade.
464,bc01,0,*,Headway was unmade.
465,bc01,1,,John was unknown.
466,bc01,0,*,John was unknown to be the murderer.
467,bc01,1,,We knew John to be the murderer.
468,bc01,1,,He fed the children.
469,bc01,1,,The children were uneducated.
470,bc01,1,,The children were undisciplined.
471,bc01,1,,I believed these students all to like John.
472,bc01,1,,They tried to all like John.
473,bc01,1,,I believed these students to all like John.
474,bc01,0,?*,Did he try ever to talk to the student?
475,bc01,1,,Did you believe him ever to have made an effort to talk to the student?
476,bc01,1,,Did he try to ever be attentive to the needs of students?
477,bc01,1,,Did you believe him to ever have made an effort to talk to the student?
478,bc01,1,,work out an analysis that is typical of this view of understood subjects.
479,bc01,1,,They were believed all to be quite diligent.
480,bc01,1,,Was he believed ever to fail students?
481,bc01,1,,There is tending to be more and more discussion of these issues.
482,bc01,1,,John seemed to be a great linguist.
483,bc01,1,,There promises to be a storm tonight.
484,bc01,1,,John strived to be successful.
485,bc01,1,,John wanted to improve his lot in life.
486,bc01,1,,John expected to win.
487,bc01,1,,This book is too dense to be read in one sitting.
488,bc01,0,*,There is too likely to be a riot to be a serious discussion of the issues.
489,bc01,1,,John tried.
490,bc01,1,,John remembered.
491,bc01,1,,John is refused.
492,bc01,1,,John forgot.
493,bc01,0,*,"Bill seems to be obnoxious, but I don't think that Sam happens."
494,bc01,0,*,"Bill seems to be obnoxious, but I don't think that Sam turns out."
495,bc01,0,*,"Bill seems to be obnoxious, but I don't think that Sam tends."
496,bc01,0,*,They tried all to like John.
497,bc01,1,,They seemed all to like John.
498,bc01,1,,John believes Sally to be polite.
499,bc01,1,,I believe John with all my heart to be a fine person.
500,bc01,0,*,John is wanted to win.
501,bc01,0,*,John would be liked to win.
502,bc01,1,,We would like John to win.
503,bc01,0,*,John would be hated to win.
504,bc01,0,*,John would be preferred to be the candidate.
505,bc01,1,,We would prefer John to be the candidate.
506,bc01,1,,I would like for John to win.
507,bc01,1,,I would hate for John to win.
508,bc01,1,,I would prefer for John to be the candidate.
509,bc01,1,,John destroyed the house.
510,bc01,1,,The electrode emitted ions into the medium.
511,bc01,1,,Ions struck the electrode.
512,bc01,1,,The medium contains ions.
513,bc01,0,*,The house destroyed John.
514,bc01,1,,Ions left the electrode.
515,bc01,0,*,The electrode was left by ions.
516,bc01,1,,The electrode was struck by ions.
517,bc01,1,,The ball lies in the box.
518,bc01,1,,The ball rolled from the bush to the tree.
519,bc01,1,,The box contains the ball.
520,bc01,1,,The tree dropped fruit to the ground.
521,bc01,1,,Fruit hit the ground from the tree.
522,bc01,1,,The stone knocked against the pole into the road.
523,bc01,1,,The stone knocked the pole into the road.
524,bc01,1,,The box contained the ball.
525,bc01,0,*,The box gradually contained the ball.
526,bc01,0,*,The box at once contained the ball.
527,bc01,0,*,The box contained the ball to the ground.
